month_num,normal_index,normal_kwh,pattern
1,0.9575781306143212,2718114.4250642876,Pattern 1
2,0.9383272520804112,2663470.2253219527,Pattern 1
3,0.9877251370836416,2803687.6128147193,Pattern 1
4,1.0018617807958583,2843814.902659486,Pattern 1
5,0.960135047006409,2725372.3094152585,Pattern 1
6,1.0076044235716133,2860115.567501066,Pattern 1
7,1.1469711384575605,3255712.194026247,Pattern 1
8,1.146867636581106,3255418.400826071,Pattern 1
9,0.9865911685363544,2800468.80886817,Pattern 1
10,0.8385071274200069,2380127.788734457,Pattern 1
11,0.9543642349539464,2708991.685231548,Pattern 1
12,1.065560075157282,3024624.4337258455,Pattern 1
1,1.0042379552849685,3526943.8088758555,Pattern 2
2,0.9143820291785336,3211364.4179515536,Pattern 2
3,0.7438352090347385,2612393.7773139626,Pattern 2
4,0.6874391684454929,2414327.507109199,Pattern 2
5,0.7421607921229703,2606513.1248955205,Pattern 2
6,0.9572959957737176,3362080.8373028217,Pattern 2
7,1.5301302077539072,5373908.8774833,Pattern 2
8,1.776664657956094,6239752.623220312,Pattern 2
9,1.1453135531924408,4022409.752982725,Pattern 2
10,0.7833177052727083,2751058.667375758,Pattern 2
11,0.7681755583548988,2697878.541048325,Pattern 2
12,0.9213114839077228,3235701.0777316196,Pattern 2
1,0.4071888134292055,150872.06335300123,Pattern 3
2,0.4242972270405426,157211.09226811596,Pattern 3
3,0.2492042403464689,92335.43922965812,Pattern 3
4,0.1368834312370387,50718.20499106431,Pattern 3
5,0.1184507652059429,43888.51255971343,Pattern 3
6,0.1240911114126452,45978.380066298065,Pattern 3
7,0.224862836566886,83316.43455169018,Pattern 3
8,0.3278528478625336,121476.41094707506,Pattern 3
9,0.2677403172635385,99203.44758036992,Pattern 3
10,0.1814658819281781,67236.94544579215,Pattern 3
11,2.6141193140099497,968586.4683612774,Pattern 3
12,6.859778597059679,2541692.9860306378,Pattern 3
