Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50,pattern
0.00065241504,0.0149976,0.008778996,0.008258787,0.037009235,0.03547133,0.0105613535,0.00026878208,-0.0006622864,-0.008320689,0.030388841,-0.03943634,-0.07326325,0.109804496,0.51113266,0.061067075,-0.11658202,-0.013818219,Pattern 1
-0.046070475,-0.10676436,-0.020144664,0.03648931,0.04594686,0.14754821,0.032848626,-0.00019611504,-0.04097792,-0.018289577,-0.01650076,0.11785268,0.37066594,0.118717365,0.18669894,-0.44921482,0.105451554,0.050078914,Pattern 1
-0.0036709826,-0.035678227,-0.03475838,-0.05545518,-0.013549646,-0.04960646,0.011101153,-0.0014930245,0.00097455777,-0.0063793794,-0.015703758,0.123914845,0.081697136,0.01061056,0.28703225,0.23249745,0.13465036,0.06952968,Pattern 1
0.028650407,-0.046293054,0.032425348,0.10637694,0.033946518,0.044076197,0.033342488,3.7422462e-05,0.02741215,0.00044988337,0.13163933,0.67013174,0.11696213,0.42659253,-0.31453726,0.035049573,0.11231403,0.10988926,Pattern 1
0.01895405,0.014746765,-0.011880031,0.061194107,-0.024459127,0.03535417,0.023185361,-0.00056475785,0.012451091,-0.0031339927,0.016138248,0.023910498,0.17717358,0.12387408,0.26618534,0.4482444,0.126641,0.2466719,Pattern 1
0.009476776,0.0201561,0.009664123,0.013027161,-0.019235607,0.045299143,0.022554355,0.0021064773,-0.0006296629,-0.0018277831,-0.041773267,0.46565294,0.028766068,0.23594677,0.3773511,0.49300382,0.07650103,0.107647866,Pattern 1
-0.030949915,0.09702552,0.20299642,-0.071441256,0.08157143,0.23311082,-0.003788093,-0.033595346,-0.003248934,0.056724794,-0.0013242678,0.38732827,-0.091840394,0.13133666,0.509586,-0.45013437,0.08622803,0.03327966,Pattern 1
0.02619173,-0.011651882,0.12766488,0.0051874514,-0.038688097,0.22407836,-0.0022997505,0.024825694,-0.0005618886,0.018699069,-0.016516346,0.23455536,0.1357884,0.074292645,0.14609754,-0.5225789,0.08394634,0.0015940006,Pattern 1
0.03747797,-0.021859383,0.03348618,-0.119654454,-0.032439377,0.031118348,0.016711757,0.00034102233,0.023844942,0.002577329,0.026116688,-0.10587516,0.07938677,-0.09958313,-1.2267911,0.030241292,0.030765356,-0.0820095,Pattern 1
-0.09050093,-0.09013086,-0.07551015,-0.30605233,0.07291017,-0.041813426,-0.060854714,0.0014301363,8.252844e-06,0.033974554,0.077780195,-0.27787864,0.03013902,-1.0450764,-1.1493691,0.0842304,0.008640546,0.16073364,Pattern 1
-1.7347235e-18,1.7347235e-18,3.469447e-18,2.6020852e-18,-1.7347235e-18,-1.7347235e-18,4.3368087e-18,2.6020852e-18,8.6736174e-19,4.3368087e-18,-1.7347235e-18,-0.3932555,-1.0831666,-1.367921,-1.0165688,-0.29965654,-0.24678075,-0.15448251,Pattern 1
-0.00032393355,-0.039810505,-0.053852487,0.19219644,0.04828259,-0.021966929,0.010255361,-0.0003995983,0.0040299646,-0.009250094,-0.018554129,0.20017777,0.0033246886,0.10250065,0.3118521,0.41196328,0.034909714,0.033667184,Pattern 1
0.07283986,0.088111095,-0.004908324,-0.43149272,-0.033442482,-0.39353272,-0.72289765,0.04301691,0.00079080055,0.37524942,-0.13089564,0.29173008,-0.055574253,-0.9662155,0.35626167,0.053706855,0.11686311,0.07275057,Pattern 1
-0.013757658,0.0015789714,0.05261948,0.0454079,-0.07843056,0.026382219,0.01651488,-0.0119077945,-0.0047554444,0.022373036,-0.018669678,0.26781687,0.09418854,0.14058283,0.35089827,0.46238202,0.037697513,0.028951954,Pattern 1
0.076968744,-0.16132692,-0.002293668,-0.19604608,-0.10522523,-0.12351455,-0.07793539,0.0,0.08594161,0.0001151244,0.046492934,0.06403255,0.11760817,0.065756746,0.42692968,0.2208022,0.31304362,0.13281867,Pattern 1
0.20885494,0.2140719,-0.18262242,-0.35268295,-0.1560714,0.30551356,0.22919272,-0.002354999,0.21535237,-0.0409144,0.33345672,0.23361017,0.16796836,0.22960252,0.5975002,0.19826514,0.36462715,0.2372131,Pattern 1
-0.0074238894,0.004787887,-0.0044842726,0.0046647787,-0.0003180889,0.0028046456,0.0025475891,5.7444857e-05,-0.0053362376,5.183066e-05,0.009116045,-0.13731869,-0.47634074,-0.3066566,0.2668269,-0.06515206,-0.48275188,-0.45862603,Pattern 1
0.042984296,0.045571133,0.0040758126,0.17969464,0.021555698,-0.016714757,0.03379792,-0.0008154623,0.041658513,-0.0023146686,-0.008514976,-0.15284906,-0.114919715,0.09715057,0.47152275,0.01537627,-0.18022008,-0.088230014,Pattern 1
0.05558876,-0.018552184,0.01629903,0.06947621,-0.018567942,0.029148614,0.051688388,-0.021427678,0.013411155,-0.0018635014,-0.014330853,-0.2326781,0.103101335,-0.0016760183,0.07886631,-0.5130542,0.06311804,0.047463868,Pattern 1
-0.013076573,-0.012623577,-0.07832588,0.07380286,-0.062882386,0.004810125,0.00036634985,-0.00025007743,0.013954023,0.008634901,0.0066939853,0.09584237,0.8308275,0.19372682,-1.0955416,0.24716662,0.07834318,0.109378755,Pattern 1
0.035691038,0.05719848,-0.01118613,0.06056617,0.04481084,0.07783858,0.0075038807,0.017319169,0.0020134193,0.0023872822,0.09587545,0.62243694,0.09150993,-0.06286871,0.58109564,-0.3986191,0.18329692,0.05921882,Pattern 1
0.0038650983,0.0033622575,0.058022056,0.18255122,0.058151398,0.090328045,0.015375296,-0.010168853,0.0032314088,-0.0093010375,0.017694654,0.1571358,-0.039734937,0.11330345,0.26318133,0.4508381,0.026952421,0.12375676,Pattern 1
-0.007346987,0.009584532,-0.02652412,-0.04389331,0.0009846224,-0.03391905,0.043619946,-0.0075924504,-0.0004413364,0.0034531641,-0.025113076,-0.12590227,-0.051839612,0.047272254,-0.010114209,0.22780548,-0.075141124,-0.029419286,Pattern 1
0.007814732,0.03447963,0.018572135,-0.2919732,0.16299063,0.056819722,-0.015427146,-0.0016651058,0.028679365,0.019685684,0.035426185,0.15593286,0.07764095,0.21481073,0.74498624,-1.1278447,0.35922837,0.1403816,Pattern 1
0.013203215,0.015665693,0.121891156,0.0930755,0.013489325,-0.038194038,0.0006625187,0.004363981,-0.00035331107,0.13597485,-0.0063775154,0.11844131,0.124003254,-0.017600067,0.116728954,-0.3910714,0.15459633,0.083779626,Pattern 1
-0.03239867,-0.031049123,-0.061674926,-0.24072263,-0.017972946,-0.057953905,0.04689276,-0.03984585,0.0005340868,-0.08888162,-0.008153523,-0.07625086,0.27527484,0.11320205,0.038358964,-0.21220174,-0.06436318,-0.014671749,Pattern 1
-0.036014676,-0.028584616,-0.022697981,-0.08155383,-0.04356622,0.010831848,-0.017820768,-0.0055846325,0.0047611934,0.004035127,0.024066787,-0.02879007,0.26774132,0.05263889,0.08608086,0.2763146,0.18760063,0.075927004,Pattern 1
-0.019761186,-0.01970485,-0.03253753,0.099996276,0.06920859,-0.073117666,0.029691385,-0.0046840063,-0.011648614,-0.003564936,-0.049819104,-0.3982168,-0.1212591,0.61757475,-1.0666147,0.175856,0.010212573,-0.07640771,Pattern 1
