pattern,display_feature,mean_abs_shap,model,approximate_shap
Pattern 1,Daily temperature,0.024978137,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Daily temperature,0.018577885,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Daily temperature,0.05683374,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,3-day temperature,0.04032893,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,3-day temperature,0.051148675,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,3-day temperature,0.07185954,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,7-day temperature,0.038348824,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,7-day temperature,0.10893757,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,7-day temperature,0.11422538,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,15-day temperature,0.10535189,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,15-day temperature,0.1206817,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,15-day temperature,0.4345425,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,7-day Tmax,0.06253329,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,7-day Tmax,0.08139801,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,7-day Tmax,0.1726776,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,7-day Tmin,0.06667565,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,7-day Tmin,0.07668325,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,7-day Tmin,0.20866671,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Diurnal temperature range,0.038536,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Diurnal temperature range,0.03604141,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Diurnal temperature range,0.09661842,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,CDD24,0.0068600983,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,CDD24,0.0060821646,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,CDD24,0.011075092,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,HDD18,0.014006517,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,HDD18,0.010286138,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,HDD18,0.034270827,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,7-day CDD24,0.023491798,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,7-day CDD24,0.044412807,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,7-day CDD24,0.1030689,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,7-day HDD18,0.03515775,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,7-day HDD18,0.044738673,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,7-day HDD18,0.14522165,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Built-up share,0.21044944,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Built-up share,0.18602827,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Built-up share,0.09796505,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Natural/green share,0.13820805,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Natural/green share,0.25721934,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Natural/green share,0.18182352,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Elevation,0.21051861,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Elevation,0.10692526,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Elevation,0.16205508,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Population density,0.41976392,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Population density,0.3147772,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Population density,0.12783295,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Residential share,0.27255103,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Residential share,0.13789642,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Residential share,0.28314054,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,Nearest industrial distance,0.13842322,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,Nearest industrial distance,0.13099498,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,Nearest industrial distance,0.2691443,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 1,NDVI p50,0.10477974,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 2,NDVI p50,0.13724019,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
Pattern 3,NDVI p50,0.12971556,pattern_specific_rf_static7_temperature_mechanism_no_lags,True
