line_name,date,year,month,day_of_year,weekday,pattern,observed_kwh,observed_mwh_per_day,log1p_kwh,tas_c_mean_7d,pred_target,pred_log1p_kwh,predicted_kwh,predicted_mwh_per_day,base_value,explanation_model,target
龙电二回（479）,2024-04-05,2024,4,96,4,Pattern 1,9074.373077391936,9.074373077391936,9.113319768744452,18.671428680419922,9.770964497449375,9.770964497449375,17516.65480641712,17.51665480641712,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
白恒一回（458）,2024-06-04,2024,6,156,1,Pattern 1,21771.55152567588,21.771551525675882,9.988405351112533,16.578571319580078,9.708795418006146,9.708795418006146,16460.76038866752,16.46076038866752,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江移线（467）,2024-04-18,2024,4,109,3,Pattern 1,21061.42954453413,21.061429544534132,9.955246142022494,19.22857175554548,9.930368666783618,9.930368666783618,20543.913412583654,20.543913412583652,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申纺一回(482),2024-03-28,2024,3,88,3,Pattern 1,50618.52173185855,50.61852173185855,10.832092585849395,14.000000272478374,10.743121349899972,10.743121349899972,46309.377447728024,46.309377447728025,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
映平线（453）,2024-01-06,2024,1,6,5,Pattern 1,35992.68251258849,35.992682512588495,10.491098716277389,8.157142843518939,10.749342407721223,10.749342407721223,46598.374986700284,46.598374986700286,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
五俪二回（482）,2024-05-10,2024,5,131,4,Pattern 1,60741.65508673449,60.74165508673449,11.01440144997126,19.385714394705637,11.03834315307859,11.03834315307859,62213.48647135034,62.21348647135034,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
太水二回（455）,2024-09-21,2024,9,265,5,Pattern 1,51052.24828447978,51.05224828447978,10.840624451039254,30.849999836512975,10.327520751826729,10.327520751826729,30561.24650374167,30.56124650374167,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
油盐线（479）,2024-07-21,2024,7,203,6,Pattern 1,14742.63318267472,14.74263318267472,9.598566619948656,25.871428625924246,9.705280310867616,9.705280310867616,16402.997118730604,16.402997118730603,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
长永线（455）,2024-12-28,2024,12,363,5,Pattern 1,14955.79720651005,14.955797206510049,9.612921138133904,3.4214286463601247,7.81851123421067,7.81851123421067,2485.201280027996,2.485201280027996,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
长高二回（453）,2024-04-21,2024,4,112,6,Pattern 1,3923.0,3.923,8.274866820685254,17.678571428571427,6.527316042542545,6.527316042542545,682.561098320371,0.682561098320371,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
宁凉线（457）,2024-08-08,2024,8,221,3,Pattern 1,101.8039443099862,0.10180394430998621,4.632823721059187,28.83571461268834,4.632823944091797,4.632823944091797,101.80396723862077,0.10180396723862077,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
五桥一回（462）,2024-03-04,2024,3,64,0,Pattern 1,37725.0,37.725,10.53810479090567,8.00714295251029,10.403657796927781,10.403657796927781,32979.03960287582,32.979039602875815,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
