pattern,temp7_c,temperature_effect_log1p,ridge_alpha,n_train,n_lines
Pattern 1,2.25714282478605,-0.061609500921329295,1.0,194344,136
Pattern 1,2.5594516318253797,-0.05796342051461494,1.0,194344,136
Pattern 1,2.8617604388647093,-0.0534052789268431,1.0,194344,136
Pattern 1,3.164069245904039,-0.0484727225100242,1.0,194344,136
Pattern 1,3.4663780529433685,-0.04370339761616873,1.0,194344,136
Pattern 1,3.768686859982698,-0.039634950597287166,1.0,194344,136
Pattern 1,4.070995667022029,-0.03675942098423065,1.0,194344,136
Pattern 1,4.373304474061358,-0.03517711370072056,1.0,194344,136
Pattern 1,4.675613281100688,-0.03477990386497031,1.0,194344,136
Pattern 1,4.9779220881400175,-0.03545728444336826,1.0,194344,136
Pattern 1,5.280230895179347,-0.03709874840230281,1.0,194344,136
Pattern 1,5.582539702218677,-0.03959378870816234,1.0,194344,136
Pattern 1,5.884848509258006,-0.04283189832733526,1.0,194344,136
Pattern 1,6.187157316297336,-0.046702570226209945,1.0,194344,136
Pattern 1,6.4894661233366655,-0.051095297371174776,1.0,194344,136
Pattern 1,6.791774930375995,-0.05589957272861816,1.0,194344,136
Pattern 1,7.094083737415325,-0.06100488926492847,1.0,194344,136
Pattern 1,7.396392544454654,-0.06630073994649412,1.0,194344,136
Pattern 1,7.698701351493984,-0.07167661773970346,1.0,194344,136
Pattern 1,8.001010158533314,-0.07702193781300733,1.0,194344,136
Pattern 1,8.303318965572643,-0.08222597175226916,1.0,194344,136
Pattern 1,8.605627772611973,-0.08717823461158944,1.0,194344,136
Pattern 1,8.907936579651302,-0.0917682193573565,1.0,194344,136
Pattern 1,9.210245386690632,-0.09590077981708237,1.0,194344,136
Pattern 1,9.512554193729962,-0.09958788859932725,1.0,194344,136
Pattern 1,9.814863000769293,-0.10288845240568219,1.0,194344,136
Pattern 1,10.11717180780862,-0.10586161836738478,1.0,194344,136
Pattern 1,10.419480614847952,-0.10856653361567276,1.0,194344,136
Pattern 1,10.72178942188728,-0.11106234528178374,1.0,194344,136
Pattern 1,11.024098228926611,-0.1134082004969555,1.0,194344,136
Pattern 1,11.32640703596594,-0.1156632463924256,1.0,194344,136
Pattern 1,11.62871584300527,-0.11788663009943186,1.0,194344,136
Pattern 1,11.931024650044598,-0.12013749874921176,1.0,194344,136
Pattern 1,12.23333345708393,-0.12247499947300314,1.0,194344,136
Pattern 1,12.535642264123258,-0.1249582794020436,1.0,194344,136
Pattern 1,12.837951071162589,-0.12764648566757084,1.0,194344,136
Pattern 1,13.140259878201917,-0.13059876540082252,1.0,194344,136
Pattern 1,13.442568685241248,-0.13387426573303635,1.0,194344,136
Pattern 1,13.744877492280576,-0.13753213379544996,1.0,194344,136
Pattern 1,14.047186299319907,-0.14163151671930105,1.0,194344,136
Pattern 1,14.349495106359235,-0.1462157184458992,1.0,194344,136
Pattern 1,14.651803913398567,-0.15123737834400014,1.0,194344,136
Pattern 1,14.954112720437895,-0.15661560944807887,1.0,194344,136
Pattern 1,15.256421527477226,-0.16226977950657342,1.0,194344,136
Pattern 1,15.558730334516554,-0.1681193769675839,1.0,194344,136
Pattern 1,15.861039141555885,-0.17408389027921062,1.0,194344,136
Pattern 1,16.163347948595213,-0.1800828078895537,1.0,194344,136
Pattern 1,16.465656755634544,-0.18603561824671355,1.0,194344,136
Pattern 1,16.767965562673876,-0.19186180979879028,1.0,194344,136
Pattern 1,17.070274369713204,-0.19748087099388412,1.0,194344,136
Pattern 1,17.372583176752535,-0.2028122902800954,1.0,194344,136
Pattern 1,17.674891983791863,-0.20777555610552426,1.0,194344,136
Pattern 1,17.977200790831194,-0.21229015691827102,1.0,194344,136
Pattern 1,18.279509597870522,-0.21627558116643586,1.0,194344,136
Pattern 1,18.581818404909853,-0.21965131729811907,1.0,194344,136
Pattern 1,18.88412721194918,-0.22233685376142082,1.0,194344,136
Pattern 1,19.186436018988513,-0.2242516790044414,1.0,194344,136
Pattern 1,19.48874482602784,-0.2253284014787275,1.0,194344,136
Pattern 1,19.791053633067172,-0.2255595374389208,1.0,194344,136
Pattern 1,20.0933624401065,-0.2249554245102455,1.0,194344,136
Pattern 1,20.39567124714583,-0.22352642128396322,1.0,194344,136
Pattern 1,20.69798005418516,-0.22128288635133547,1.0,194344,136
Pattern 1,21.00028886122449,-0.21823505284507627,1.0,194344,136
Pattern 1,21.302597668263818,-0.21439254212138517,1.0,194344,136
Pattern 1,21.60490647530315,-0.20976660143877213,1.0,194344,136
Pattern 1,21.90721528234248,-0.20436758938849872,1.0,194344,136
Pattern 1,22.20952408938181,-0.19820586456182634,1.0,194344,136
Pattern 1,22.51183289642114,-0.1912917855500164,1.0,194344,136
Pattern 1,22.814141703460468,-0.1836357109443305,1.0,194344,136
Pattern 1,23.1164505104998,-0.17524799933602997,1.0,194344,136
Pattern 1,23.418759317539127,-0.1661390093163764,1.0,194344,136
Pattern 1,23.72106812457846,-0.1563190994766311,1.0,194344,136
Pattern 1,24.023376931617786,-0.1457986284080557,1.0,194344,136
Pattern 1,24.325685738657118,-0.13458796201256826,1.0,194344,136
Pattern 1,24.627994545696446,-0.12271372893506652,1.0,194344,136
Pattern 1,24.930303352735777,-0.1102626222664591,1.0,194344,136
Pattern 1,25.232612159775105,-0.09733602186740782,1.0,194344,136
Pattern 1,25.534920966814436,-0.08403530986864162,1.0,194344,136
Pattern 1,25.837229773853764,-0.07046186840089012,1.0,194344,136
Pattern 1,26.139538580893095,-0.05671707959488234,1.0,194344,136
Pattern 1,26.441847387932423,-0.04290232558134783,1.0,194344,136
Pattern 1,26.744156194971755,-0.02911898849101565,1.0,194344,136
Pattern 1,27.046465002011082,-0.015468450454615378,1.0,194344,136
Pattern 1,27.348773809050414,-0.002052093602875967,1.0,194344,136
Pattern 1,27.65108261608974,0.011028441251436,1.0,194344,136
Pattern 1,27.953391423129073,0.02367155096575823,1.0,194344,136
Pattern 1,28.2557002301684,0.03577607889270945,1.0,194344,136
Pattern 1,28.558009037207732,0.04724064290156068,1.0,194344,136
Pattern 1,28.86031784424706,0.057963860861582346,1.0,194344,136
Pattern 1,29.16262665128639,0.06784435064204539,1.0,194344,136
Pattern 1,29.46493545832572,0.07678078823187307,1.0,194344,136
Pattern 1,29.76724426536505,0.08470170702658006,1.0,194344,136
Pattern 1,30.06955307240438,0.09162632252197818,1.0,194344,136
Pattern 1,30.37186187944371,0.09759176650339837,1.0,194344,136
Pattern 1,30.674170686483038,0.10263517075617118,1.0,194344,136
Pattern 1,30.97647949352237,0.1067936670656274,1.0,194344,136
Pattern 1,31.2787883005617,0.11010438721709773,1.0,194344,136
Pattern 1,31.58109710760103,0.11260446299591288,1.0,194344,136
Pattern 1,31.88340591464036,0.1143310261874036,1.0,194344,136
Pattern 1,32.18571472167969,0.11532120857690055,1.0,194344,136
Pattern 2,3.5142856666019986,-0.3439091139034173,1.0,228640,160
Pattern 2,3.8107503096950692,-0.3747381146836208,1.0,228640,160
Pattern 2,4.10721495278814,-0.40189834265924035,1.0,228640,160
Pattern 2,4.4036795958812105,-0.4254422752210773,1.0,228640,160
Pattern 2,4.700144238974281,-0.4456949509015983,1.0,228640,160
Pattern 2,4.996608882067352,-0.46297692150125946,1.0,228640,160
Pattern 2,5.2930735251604215,-0.47761999155884544,1.0,228640,160
Pattern 2,5.589538168253492,-0.48995004123247604,1.0,228640,160
Pattern 2,5.886002811346563,-0.5002927073418083,1.0,228640,160
Pattern 2,6.182467454439633,-0.5089736267064995,1.0,228640,160
Pattern 2,6.478932097532704,-0.5163184361462064,1.0,228640,160
Pattern 2,6.775396740625775,-0.5226527724805865,1.0,228640,160
Pattern 2,7.071861383718845,-0.5283022725292966,1.0,228640,160
Pattern 2,7.368326026811916,-0.5335925731119939,1.0,228640,160
Pattern 2,7.664790669904987,-0.5388493110483354,1.0,228640,160
Pattern 2,7.961255312998057,-0.5443981231579786,1.0,228640,160
Pattern 2,8.257719956091128,-0.55056464626058,1.0,228640,160
Pattern 2,8.554184599184198,-0.5576745171757972,1.0,228640,160
Pattern 2,8.85064924227727,-0.5660533727232868,1.0,228640,160
Pattern 2,9.14711388537034,-0.5760085976218262,1.0,228640,160
Pattern 2,9.44357852846341,-0.587542012490682,1.0,228640,160
Pattern 2,9.740043171556481,-0.6004333732819782,1.0,228640,160
Pattern 2,10.036507814649552,-0.6144577604530088,1.0,228640,160
Pattern 2,10.332972457742622,-0.6293902544610682,1.0,228640,160
Pattern 2,10.629437100835691,-0.6450059357634509,1.0,228640,160
Pattern 2,10.925901743928762,-0.661079884817451,1.0,228640,160
Pattern 2,11.222366387021832,-0.6773871820803627,1.0,228640,160
Pattern 2,11.518831030114903,-0.6937029080094805,1.0,228640,160
Pattern 2,11.815295673207974,-0.7098021430620987,1.0,228640,160
Pattern 2,12.111760316301044,-0.7254599676955115,1.0,228640,160
Pattern 2,12.408224959394115,-0.7404514623670133,1.0,228640,160
Pattern 2,12.704689602487186,-0.7545517075338984,1.0,228640,160
Pattern 2,13.001154245580256,-0.767535783653461,1.0,228640,160
Pattern 2,13.297618888673327,-0.7791766464741509,1.0,228640,160
Pattern 2,13.594083531766397,-0.7892497048191847,1.0,228640,160
Pattern 2,13.890548174859468,-0.7975309195851398,1.0,228640,160
