line_name,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,scenario,model,year
万书线（462）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
万利高速（457）,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
万复线（467）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
万州桥四回（454）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
万永线（463）,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,ssp126,ACCESS-CM2,2030
万滨一回（459）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
万滨二回（461）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
三铁二回（462）,Pattern 1,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,ssp126,ACCESS-CM2,2030
三高线（461）,Pattern 2,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,ssp126,ACCESS-CM2,2030
五乐线（442）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五俪一回（477）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五俪二回（482）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五友线（488）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五星二回（481）,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五桥一回（462）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五桥三回（461）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五桥二回（479）,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五桥五回（472）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五桥六回（485）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五桥四回（467）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五水一回（441）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五水二回（465）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五汇线（463）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五联一回（469）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五联三回（484）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五联二回（471）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五茂一回（478）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五药线（456）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五郦三回（483）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五长线（454）,Pattern 2,17.49419477034496,26.696759345760626,304.1551289534877,1319.2068385512098,365,ssp126,ACCESS-CM2,2030
五长线（455）,Pattern 2,17.49419477034496,26.696759345760626,304.1551289534877,1319.2068385512098,365,ssp126,ACCESS-CM2,2030
五陆线（459）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五陈线（458）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
五雄线（476）,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五龙一回（475）,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
五龙二回（487）,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,ssp126,ACCESS-CM2,2030
光国一回（454）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
光国二回（459）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
