line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year
万书线（462）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万利高速（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万复线（467）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万州桥四回（454）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万永线（463）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万滨一回（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
万滨二回（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
三铁二回（462）,17.588327,26.40172,330.87405,1375.7518,365,ssp126,ACCESS-CM2,2021
三高线（461）,17.588327,26.40172,330.87405,1375.7518,365,ssp126,ACCESS-CM2,2021
五乐线（442）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五俪一回（477）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五俪二回（482）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五友线（488）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五星二回（481）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥一回（462）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥三回（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥二回（479）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥五回（472）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥六回（485）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五桥四回（467）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五水一回（441）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五水二回（465）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五汇线（463）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五联一回（469）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五联三回（484）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五联二回（471）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五茂一回（478）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五药线（456）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五郦三回（483）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五长线（454）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
五长线（455）,18.1808,26.976093,387.8268,1275.451,365,ssp126,ACCESS-CM2,2021
五陆线（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五陈线（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五雄线（476）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五龙一回（475）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
五龙二回（487）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光国一回（454）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光国二回（459）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光山线（461）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光岩一回（453）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光岩三回（463）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光岩二回（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
光明一回（452）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
