line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
万书线（462）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
万利高速（457）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,-0.5651539087566775
万复线（467）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
万州桥四回（454）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
万永线（463）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
万滨一回（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
万滨二回（461）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
三铁二回（462）,18.313448,27.052149,417.28867,1242.5016,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,-0.12870971395479103
三高线（461）,18.313448,27.052149,417.28867,1242.5016,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,-0.12870971395479103
五乐线（442）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五俪一回（477）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
五俪二回（482）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五友线（488）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
五星二回（481）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
